2014-07-02,42TEST107,ACATS42,L ST CNS E
2014-05-12,43TEST105,ACATS43,L ST CNS F
2014-05-21,55TEST109,ACATS55,L ST CNS NIGHT
2014-01-22,059OPT990,T990SPINOF,ADR BANCO SANTANDER (RG-IR)
2020-07-07,090RGT028,T028REORGPYMNT,CONTRA BIOLASE INS RTS TB/YS R
2020-07-28,090RGT036,T036RTSPYMNT,RIGHTS ADR
2020-02-24,126RGT018,T018RTSPYMNT,RIGHTS CTI BIOPHARMA C + MS/YS
2018-12-17,151RGT057,T057RTSPYMNT,"CONTRA CEMTREX INC, MS/YS RTS"
2019-06-18,159RGT018,T018RTSPYMNT,CHANTICLEER HLDGS INC
2020-01-24,171RGT020,T020RTSPYMNT,CIDARA THERAPEUTICS IN KB/YS R
2013-05-02,220OPT994,994SPNOFF,CORRECTIONS CORP AMER NEW
2019-06-04,247RGT012,RGT012PS,DELMAR PHARMACEUTICALS INC
2015-03-23,266CVR901,R901MR,DURATA THERAPEUTICS INC (BR/MH
2019-07-24,339RGT011,T011RTSPYMNT,FLEX PHARMA INC KB/YS RTS PAYM
2019-05-06,363RGT010,T010RTSPAY,GALECTIN THERAPEUTICS INC
2020-07-30,482RGT016,T016RYSPYMSNT,RIGHTS JUST ENERGY GRO
2013-02-08,653CVR993,CVR993/PYTMT,NEXTWAVE WIRELESS INC CVR (KK/
2019-05-30,653RGT019,RGT019PS,NEXPOINT CREDIT STRATEGIES FUN
2018-12-14,670RGT018,T018RTS,NUVERRA ENVIRONMENTAL (KB-ST)
2019-08-07,671RGT017,T107RTSPYMNT,RIGHTS CEF
2020-05-27,745RGT019,T019REORGPYMNT,RIGHTS PULSE BIOSCIENCE MS/YS
2019-12-09,756RGT015,T015RTSPYMNT,CONTRA REAL GOOD SA
2016-09-29,760ESC996,C996REORG,ESC RENTECH NITROGEN PARTN (JA
2020-01-27,829RGT018,T108RGTSPAY,SINTX TECHNOLOGIES INC (KB-ST)
2019-06-03,832RGT013,RGT013PS,SMTC CORP RIGHTS NEW (PD/ST)
2020-02-13,848RGT015,T015RTSPAYMENT,RIGHTS SPERO THERAPEUT JA/YS R
2020-02-18,969RGT018,GT018RTSPYMNT,WILLIAM IND RTS. JA/YS RTS PYM
2013-02-25,0017EP103,AMLTY,AMP LTD UNSPONSORED ADR
2020-03-24,0017EP202,AMLYY,AMP LIMITED SPONSORED ADR (AUS
2020-07-31,0556EL109,BPMP,BP MIDSTREAM PARTNERS LP UNIT
2020-07-20,1248XT104,CBMB,CBM BANCORP INC COM (MD)
2013-01-22,1312EM104,CLSP,CALLISTO PHARMACEUTICALS INC (
2020-07-27,1694EN103,CMHHY,CHINA MERCHANTS PORT HOLDINGS
2013-04-23,1912EP104,CCH,COCA-COLA HELLENIC BOTTLING AD
2013-05-31,1912EP104,OCCH,COCA-COLA HELLENIC BOTTLING AD
2018-11-13,1912ER308,COLAY,COCA COLA ICECEK A S SPONSORED
2020-07-27,3130M0107,FERL,FEARLESS FILMS INC COM
2020-07-16,3621LQ109,GTHX,G1 THERAPEUTICS INC COM
2020-07-27,3621ME105,GNNDY,GN STORE NORD A/S ADR (DENMARK
2014-11-04,3622N9103,GSEN,"GS EnviroServices, Inc. Common"
2016-09-06,4042EP602,LSC,ELEMENTS S&P CTI ETN DUE 06-16
2020-07-31,4525EP101,IMUX,IMMUNIC INC COM (DE)
2013-10-28,4576J0401,INKPQ,INNKEEPERS USA TR PFD SER C 8.
2013-06-20,5357EP207,LWLL,LINKWELL CORPORATION COMMON ST
2013-05-06,6706D8104,NPX,NUVEEN PREMIUM INCOME MUNICIPA
2020-07-23,6706EB106,NCB,NUVEEN CALIF MUNICPAL VALUE FD
2016-10-05,6706EH103,JGV,NUVEEN GLOBAL EQUITY INCOME FU
2014-12-24,6706EM102,M102SC,NUVEEN EQUITY PREMIUM OPPORTUN
2020-07-27,6706EN100,JRO,NUVEEN FLOATING RATE INCOME OP
2020-07-31,6706EP105,JDD,NUVEEN DIVERSIFIED DIV & INCM
2020-07-21,6706ER101,BXMX,NUVEEN S&P 500 BUY-WRITE INCOM
2014-12-23,6706ET107,T107SC,NUVEEN EQUITY PREMIUM ADVANTAG
2020-07-23,6706EW100,SPXX,NUVEEN S&P 500 DYNAMIC OVERWRI
2016-04-12,6706K4105,NPT,NUVEEN PREM INSD MUNI FD-4 INC
2014-06-05,6706L0102,NCU,NUVEEN (CAL) PREM INCM MUNI FD
2014-06-06,6706L0300,NCUPRC,NUVEEN CALIFORNIA PREMIUM INCO
2020-07-31,7591EP100,RF,REGIONS FINANCIAL CORP (NEW)
